Itr: 113, Loss: 0.04382680729031563, L_s: 0.04382586479187012, L_vlb: 0.0009419339476153255
Itr: 114, Loss: 0.03301118314266205, L_s: 0.03301084786653519, L_vlb: 0.00033410568721592426
Itr: 115, Loss: 0.03879585862159729, L_s: 0.03879508748650551, L_vlb: 0.0007700109854340553
Itr: 116, Loss: 0.04386720806360245, L_s: 0.04386594891548157, L_vlb: 0.001259013544768095
Itr: 117, Loss: 0.02024882659316063, L_s: 0.020248662680387497, L_vlb: 0.0001647999742999673
Itr: 118, Loss: 0.02547573857009411, L_s: 0.025475531816482544, L_vlb: 0.00020717736333608627
Itr: 119, Loss: 0.022383827716112137, L_s: 0.022350696846842766, L_vlb: 0.033131394535303116
Itr: 120, Loss: 0.009790981188416481, L_s: 0.009790923446416855, L_vlb: 5.814207179355435e-05
Itr: 121, Loss: 0.05020173266530037, L_s: 0.050200819969177246, L_vlb: 0.0009144556242972612
Itr: 122, Loss: 0.019785583019256592, L_s: 0.019785426557064056, L_vlb: 0.00015617720782756805
Itr: 123, Loss: 0.013442661613225937, L_s: 0.013442582450807095, L_vlb: 7.926813850644976e-05
Itr: 124, Loss: 0.01509714312851429, L_s: 0.015097059309482574, L_vlb: 8.42416484374553e-05
Itr: 125, Loss: 0.030457839369773865, L_s: 0.030457479879260063, L_vlb: 0.00036027960595674813
Itr: 126, Loss: 0.051963817328214645, L_s: 0.05192890763282776, L_vlb: 0.034911420196294785
Itr: 127, Loss: 0.0233053769916296, L_s: 0.023305080831050873, L_vlb: 0.0002966767642647028
Itr: 128, Loss: 0.0891803503036499, L_s: 0.08916240185499191, L_vlb: 0.017945868894457817
Itr: 129, Loss: 0.013894394971430302, L_s: 0.013894302770495415, L_vlb: 9.215346653945744e-05
Itr: 130, Loss: 0.02399780973792076, L_s: 0.023997604846954346, L_vlb: 0.00020490182214416564
Itr: 131, Loss: 0.0500735379755497, L_s: 0.05007261037826538, L_vlb: 0.0009287658613175154
Itr: 132, Loss: 0.019150566309690475, L_s: 0.019150424748659134, L_vlb: 0.00014232620014809072
Itr: 133, Loss: 0.08272093534469604, L_s: 0.08271555602550507, L_vlb: 0.005380590911954641
Itr: 134, Loss: 0.019147036597132683, L_s: 0.019146816805005074, L_vlb: 0.00021953403484076262
Itr: 135, Loss: 0.0949067547917366, L_s: 0.09490108489990234, L_vlb: 0.00566677562892437
Itr: 136, Loss: 0.016637302935123444, L_s: 0.016637202352285385, L_vlb: 0.00010009507241193205
Itr: 137, Loss: 0.06891927123069763, L_s: 0.06891784071922302, L_vlb: 0.0014290949329733849
Itr: 138, Loss: 0.037858881056308746, L_s: 0.03785834461450577, L_vlb: 0.0005372095620259643
Itr: 139, Loss: 0.055743031203746796, L_s: 0.05574194714426994, L_vlb: 0.0010847542434930801
Itr: 140, Loss: 0.014073765836656094, L_s: 0.014073636382818222, L_vlb: 0.00012913627142552286
Itr: 141, Loss: 0.03379421308636665, L_s: 0.03379380330443382, L_vlb: 0.0004099976213183254
Itr: 142, Loss: 0.040921371430158615, L_s: 0.04092026874423027, L_vlb: 0.0011018922086805105
Itr: 143, Loss: 0.0472276471555233, L_s: 0.047225236892700195, L_vlb: 0.0024096311535686255
Itr: 144, Loss: 0.02678649127483368, L_s: 0.026786204427480698, L_vlb: 0.00028695884975604713
Itr: 145, Loss: 0.026156553998589516, L_s: 0.026156103238463402, L_vlb: 0.00045127631165087223
Itr: 146, Loss: 0.06375759840011597, L_s: 0.06375470757484436, L_vlb: 0.0028923884965479374
Itr: 147, Loss: 0.13252714276313782, L_s: 0.13248702883720398, L_vlb: 0.040112026035785675
Itr: 148, Loss: 0.09568633884191513, L_s: 0.09564541280269623, L_vlb: 0.04092377424240112
Itr: 149, Loss: 0.012969744391739368, L_s: 0.01295267604291439, L_vlb: 0.017068423330783844
